EVA_NR;DS100;IFOPT;NAME;Longitude;Latitude;Betreiber_Name
8000166;HHB;de:03156:41699;Herzberg(Harz);10,329923;51,643861;DB Station und Service AG
8000167;HHES;de:03459:41892;Hesepe;7,967599;52,439221;DB Station und Service AG
8000168;HU;de:03360:92160;Uelzen;10,553053;52,969781;DB Station und Service AG
8000169;HHI;de:03254:9922;Hildesheim Hbf;9,953497;52,160626;DB Station und Service AG
8000170;TU;de:08421:1008;Ulm Hbf;9,982227;48,399437;DB Station und Service AG
8000171;EUN;de:05978:11218;Unna;7,692858;51,538982;DB Station und Service AG
8000172;FHT;de:06437:11220;Höchst(Odenw);8,988549;49,794499;DB Station und Service AG
8000173;NHOB;de:09479:9579;Wunsiedel-Holenbrunn;12,033928;50,051113;DB Station und Service AG
8000174;KV;de:05166:22005;Viersen;6,403896;51,254947;DB Station und Service AG
8000175;SVL;de:10041:8000175;Völklingen;6,848156;49,249091;DB Station und Service AG
8000176;SHO;de:10045:8000176;Homburg(Saar)Hbf;7,337035;49,328082;DB Station und Service AG
8000177;THB;de:08237:5001;Horb;8,688982;48,441471;DB Station und Service AG
8000178;KHR;de:05362:87303;Horrem;6,713497;50,916249;DB Station und Service AG
8000180;TWN;de:08119:7604;Waiblingen;9,299882;48,826124;DB Station und Service AG
8000181;AHM;de:01054:44660;Husum;9,055026;54,472271;DB Station und Service AG
8000182;RIM;de:08327:1242;Immendingen;8,729536;47,936007;DB Station und Service AG
8000183;MIH;de:09161:9000;Ingolstadt Hbf;11,437337;48,744541;DB Station und Service AG
8000185;HGI;de:03151:858;Gifhorn;10,545284;52,456155;DB Station und Service AG
8000186;EIL;de:05962:505;Iserlohn;7,691608;51,373294;DB Station und Service AG
8000187;FWA;de:06534:11200;Wallau(Lahn);8,47001;50,922898;DB RegioNetz Infrastruktur GmbH
8000188;KJ;de:05358:4188;Jülich;6,367977;50,919381;Rurtalbahn GmbH
8000189;SKL;de:07312:9035;Kaiserslautern Hbf;7,768716;49,436137;DB Station und Service AG
8000190;KKAK;de:05166:23754;Kaldenkirchen;6,203225;51,327184;DB Station und Service AG
8000191;RK;de:08212:90;Karlsruhe Hbf;8,402181;48,993515;DB Station und Service AG
8000192;EWAN;de:05916:7590;Wanne-Eickel Hbf;7,165783;51,531256;DB Station und Service AG
8000193;FK;de:06611:200001;Kassel Hbf;9,489501;51,31826;DB Station und Service AG
8000194;MKFB;de:09762:950;Kaufbeuren;10,629496;47,875432;DB Station und Service AG
8000195;MKFG;de:09181:503;Kaufering;10,854595;48,080835;DB Station und Service AG
8000196;HWAR;de:05762:8130;Warburg(Westf);9,163845;51,492953;DB Station und Service AG
8000197;MKP;de:09763:99;Kempten(Allgäu)Hbf;10,31761;47,711745;DB Station und Service AG
8000198;EKG;de:05113:9383;Kettwig;6,953747;51,363375;DB Station und Service AG
8000199;AK;de:01002:49079;Kiel Hbf;10,131976;54,314985;DB Station und Service AG
8000201;NKL;de:09472:22900;Kirchenlaibach;11,776325;49,869904;DB Station und Service AG
8000203;TKG;de:08436:1159;Kißlegg;9,881921;47,793533;DB Station und Service AG
8000204;NWDO;de:09363:2;Weiden(Oberpf);12,153846;49,67049;DB Station und Service AG
8000205;KKLV;de:05154:35739;Kleve;6,146224;51,789734;DB Station und Service AG
8000206;KKO;de:07111:010001;Koblenz Hbf;7,588345;50,350929;DB Station und Service AG
8000207;KK;de:05315:11201;Köln Hbf;6,958729;50,94303;DB Station und Service AG
8000208;KKER,KKERP;de:05315:14201;Köln-Ehrenfeld;6,917276;50,951533;DB Station und Service AG
8000209;KKM;de:05315:19201;Köln-Mülheim;7,013295;50,957986;DB Station und Service AG
8000210;FKOB;de:06635:205466;Korbach Hbf;8,873229;51,278712;DB RegioNetz Infrastruktur GmbH
8000211;KKR;de:05114:21002;Krefeld Hbf;6,569885;51,325717;DB Station und Service AG
8000212;KKRO;de:05114:21590;Krefeld-Oppum;6,61009;51,329749;DB Station und Service AG
8000213;HK;de:03155:3532;Kreiensen;9,967798;51,851423;DB Station und Service AG
8000214;EKT;de:05970:10191;Kreuztal;7,991696;50,956029;DB Station und Service AG
8000215;ELAG;de:05766:2200;Lage(Lippe);8,801199;51,991742;DB Station und Service AG
8000216;RLA;de:07313:8304;Landau(Pfalz)Hbf;8,126204;49,197741;DB Station und Service AG
8000217;MLA;de:09261:64;Landshut(Bay)Hbf;12,13593;48,547492;DB Station und Service AG
8000218;FWG;de:06533:11118;Weilburg;8,267949;50,486368;DB Station und Service AG
8000220;MWH;de:09190:41571;Weilheim(Oberbay);11,14286;47,845363;DB Station und Service AG
8000221;TL;de:08128:13805;Lauda;9,709512;49,565385;DB Station und Service AG
8000222;FLAU;de:06535:11203;Lauterbach(Hess)Nord;9,408055;50,643606;DB Station und Service AG
8000225;HLEE;de:03457:54173;Leer(Ostfriesl);7,465283;53,23165;DB Station und Service AG
8000226;HLER;de:03241:9808;Lehrte;9,974599;52,376722;DB Station und Service AG
8000227;ELE;de:05962:1001;Letmathe;7,618397;51,362838;DB Station und Service AG
8000228;NLF;de:09478:27000;Lichtenfels;11,059472;50,146452;DB Station und Service AG
8000229;FL;de:06533:11025;Limburg(Lahn);8,062342;50,384119;DB Station und Service AG
8000230;MLI;de:09776:1546;Lindau Hbf;9,680469;47,544341;DB Station und Service AG
8000231;TWT;de:08128:13412;Wertheim;9,513095;49,762025;DB RegioNetz Infrastruktur GmbH
8000233;HL;de:05758:1741;Löhne(Westf);8,7135;52,196653;DB Station und Service AG
8000234;FLOL;de:06531:11085;Lollar;8,70174;50,647936;DB Station und Service AG
